N,GPU_SIEVE,CPU_SIEVE,CPU_CLASSIC
2880,0.000011,0.000040,0.001795
2890,0.000011,0.000038,0.001854
2900,0.000020,0.000038,0.001992
2910,0.000011,0.000038,0.001779
2920,0.000016,0.000066,0.003618
2930,0.000011,0.000039,0.001796
2940,0.000013,0.000056,0.003032
2950,0.000013,0.000053,0.002734
2960,0.000011,0.000039,0.002240
2970,0.000018,0.000039,0.002030
2980,0.000011,0.000040,0.001926
2990,0.000011,0.000037,0.002485
3000,0.000012,0.000041,0.001853
3010,0.000011,0.000040,0.001869
3020,0.000012,0.000039,0.001870
3030,0.000030,0.000040,0.001984
3040,0.000011,0.000041,0.002013
3050,0.000011,0.000040,0.001955
3060,0.000013,0.000069,0.002413
3070,0.000018,0.000039,0.001931
3080,0.000013,0.000043,0.002139
3090,0.000012,0.000041,0.002171
3100,0.000028,0.000048,0.002701
3110,0.000012,0.000041,0.002062
3120,0.000012,0.000042,0.002161
3130,0.000011,0.000041,0.002022
3140,0.000011,0.000042,0.002060
3150,0.000011,0.000040,0.001989
3160,0.000011,0.000073,0.002035
3170,0.000013,0.000040,0.002106
3180,0.000012,0.000041,0.002071
3190,0.000023,0.000042,0.002319
3200,0.000033,0.000042,0.002102
3210,0.000011,0.000041,0.002121
3220,0.000014,0.000068,0.003152
3230,0.000038,0.000043,0.002110
3240,0.000046,0.000055,0.002299
3250,0.000010,0.000043,0.002858
3260,0.000012,0.000042,0.002675
3270,0.000021,0.000044,0.002236
3280,0.000012,0.000044,0.002117
3290,0.000011,0.000068,0.002707
3300,0.000013,0.000043,0.002238
3310,0.000011,0.000043,0.002515
3320,0.000070,0.000042,0.002140
3330,0.000014,0.000044,0.002165
3340,0.000012,0.000043,0.002198
3350,0.000039,0.000080,0.002542
3360,0.000011,0.000043,0.002495
3370,0.000012,0.000049,0.002414
3380,0.000011,0.000042,0.002485
3390,0.000013,0.000050,0.002505
3400,0.000014,0.000046,0.002257
3410,0.000032,0.000050,0.002315
3420,0.000011,0.000046,0.002324
3430,0.000016,0.000054,0.002298
3440,0.000011,0.000044,0.002323
3450,0.000011,0.000045,0.002300
3460,0.000012,0.000052,0.002348
3470,0.000011,0.000046,0.002314
3480,0.000036,0.000044,0.002794
3490,0.000012,0.000045,0.002414
3500,0.000010,0.000045,0.002347
3510,0.000014,0.000045,0.002401
3520,0.000012,0.000073,0.002711
3530,0.000011,0.000044,0.002695
3540,0.000058,0.000071,0.003595
3550,0.000013,0.000046,0.002575
3560,0.000055,0.000064,0.003283
3570,0.000011,0.000087,0.002878
3580,0.000028,0.000045,0.003089
3590,0.000012,0.000045,0.002495
3600,0.000012,0.000047,0.002444
3610,0.000053,0.000045,0.002671
3620,0.000011,0.000047,0.002514
3630,0.000011,0.000056,0.002545
3640,0.000011,0.000046,0.002535
3650,0.000012,0.000067,0.003706
3660,0.000012,0.000062,0.002557
3670,0.000012,0.000049,0.002564
3680,0.000014,0.000052,0.002873
3690,0.000014,0.000049,0.002620
3700,0.000012,0.000048,0.002544
3710,0.000011,0.000048,0.002679
3720,0.000011,0.000049,0.002724
3730,0.000012,0.000049,0.002634
3740,0.000011,0.000047,0.002596
3750,0.000014,0.000051,0.002700
3760,0.000011,0.000051,0.002693
3770,0.000011,0.000050,0.002975
3780,0.000011,0.000049,0.002625
3790,0.000029,0.000049,0.002908
3800,0.000012,0.000054,0.002733
3810,0.000034,0.000068,0.004016
3820,0.000030,0.000050,0.002663
3830,0.000013,0.000051,0.003257
3840,0.000018,0.000064,0.002843
3850,0.000011,0.000050,0.002734
3860,0.000038,0.000049,0.002881
3870,0.000011,0.000049,0.002764
3880,0.000032,0.000049,0.002922
3890,0.000068,0.000049,0.002715
3900,0.000033,0.000050,0.003866
3910,0.000031,0.000051,0.002765
3920,0.000076,0.000069,0.003017
3930,0.000032,0.000051,0.002959
3940,0.000036,0.000051,0.002977
3950,0.000065,0.000050,0.003066
3960,0.000060,0.000078,0.003570
3970,0.000035,0.000053,0.002881
3980,0.000034,0.000101,0.003085
3990,0.000034,0.000052,0.002838
4000,0.000036,0.000051,0.003234
4010,0.000032,0.000050,0.003154
4020,0.000038,0.000108,0.004142
4030,0.000032,0.000052,0.002887
4040,0.000069,0.000051,0.003120
4050,0.000031,0.000059,0.003006
4060,0.000058,0.000059,0.002913
4070,0.000034,0.000054,0.003349
4080,0.000032,0.000053,0.002956
4090,0.000014,0.000058,0.004374
4100,0.000056,0.000054,0.003051
4110,0.000015,0.000082,0.003925
4120,0.000016,0.000055,0.003087
4130,0.000014,0.000111,0.003201
4140,0.000011,0.000051,0.003175
4150,0.000029,0.000054,0.003150
4160,0.000013,0.000054,0.003129
4170,0.000014,0.000054,0.003055
4180,0.000033,0.000072,0.004535
4190,0.000033,0.000062,0.003152
4200,0.000013,0.000053,0.003203
4210,0.000015,0.000055,0.003079
4220,0.000019,0.000054,0.003927
4230,0.000013,0.000068,0.003163
4240,0.000013,0.000072,0.003545
4250,0.000013,0.000055,0.003156
4260,0.000012,0.000057,0.003344
4270,0.000016,0.000055,0.003174
4280,0.000011,0.000055,0.004053
4290,0.000034,0.000055,0.003290
4300,0.000013,0.000056,0.003479
4310,0.000011,0.000054,0.003538
4320,0.000037,0.000072,0.004522
4330,0.000012,0.000056,0.003280
4340,0.000011,0.000056,0.003597
4350,0.000011,0.000074,0.003438
4360,0.000032,0.000058,0.003247
4370,0.000011,0.000071,0.003418
4380,0.000041,0.000065,0.003797
4390,0.000012,0.000057,0.003286
4400,0.000012,0.000065,0.003893
4410,0.000018,0.000058,0.003946
4420,0.000011,0.000057,0.004167
4430,0.000053,0.000058,0.003328
4440,0.000012,0.000057,0.003503
4450,0.000056,0.000054,0.003451
4460,0.000013,0.000056,0.003923
4470,0.000013,0.000058,0.003521
4480,0.000012,0.000056,0.003812
4490,0.000033,0.000058,0.003582
4500,0.000035,0.000058,0.003512
4510,0.000011,0.000056,0.003464
4520,0.000012,0.000055,0.003702
4530,0.000013,0.000058,0.003439
4540,0.000012,0.000109,0.004324
4550,0.000011,0.000059,0.003620
4560,0.000014,0.000067,0.003967
4570,0.000012,0.000060,0.003702
4580,0.000012,0.000062,0.003692
4590,0.000012,0.000070,0.003669
4600,0.000012,0.000060,0.003524
4610,0.000012,0.000061,0.003903
4620,0.000012,0.000059,0.004789
4630,0.000011,0.000061,0.003954
4640,0.000014,0.000060,0.003621
4650,0.000054,0.000060,0.003701
4660,0.000011,0.000060,0.003808
4670,0.000028,0.000056,0.004847
4680,0.000012,0.000062,0.003707
4690,0.000013,0.000061,0.003627
4700,0.000035,0.000062,0.005376
4710,0.000014,0.000062,0.004109
4720,0.000041,0.000058,0.004123
4730,0.000011,0.000061,0.003723
4740,0.000031,0.000062,0.004425
4750,0.000011,0.000062,0.003740
4760,0.000011,0.000063,0.004082
4770,0.000012,0.000062,0.003793
4780,0.000033,0.000060,0.004041
4790,0.000012,0.000057,0.004286
4800,0.000011,0.000063,0.003891
4810,0.000012,0.000063,0.004124
4820,0.000015,0.000063,0.003891
4830,0.000012,0.000064,0.004117
4840,0.000012,0.000079,0.003803
4850,0.000012,0.000063,0.004151
4860,0.000013,0.000062,0.003811
4870,0.000035,0.000080,0.004354
4880,0.000011,0.000065,0.004070
4890,0.000013,0.000065,0.004059
4900,0.000012,0.000064,0.004415
4910,0.000034,0.000099,0.003969
4920,0.000013,0.000064,0.004358
4930,0.000013,0.000064,0.003889
4940,0.000011,0.000065,0.004298
4950,0.000013,0.000065,0.004531
4960,0.000011,0.000066,0.004926
4970,0.000025,0.000067,0.005030
4980,0.000013,0.000068,0.004735
4990,0.000023,0.000069,0.004351
5000,0.000020,0.000073,0.004569
5010,0.000037,0.000065,0.004365
5020,0.000022,0.000066,0.004114
5030,0.000012,0.000069,0.004322
5040,0.000011,0.000066,0.004145
5050,0.000011,0.000064,0.004181
5060,0.000064,0.000103,0.004440
5070,0.000012,0.000086,0.004314
5080,0.000012,0.000067,0.004239
5090,0.000037,0.000064,0.005221
5100,0.000033,0.000069,0.004190
5110,0.000014,0.000075,0.004362
5120,0.000011,0.000081,0.004094
5130,0.000013,0.000072,0.004306
5140,0.000030,0.000080,0.004915
5150,0.000032,0.000062,0.004369
5160,0.000012,0.000068,0.004301
5170,0.000050,0.000068,0.004273
5180,0.000014,0.000086,0.005400
5190,0.000020,0.000103,0.004883
5200,0.000012,0.000069,0.005434
5210,0.000011,0.000069,0.004568
5220,0.000012,0.000065,0.006169
5230,0.000056,0.000069,0.005055
5240,0.000034,0.000073,0.004851
5250,0.000060,0.000136,0.004401
